measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2023-06-30T00:00:00+09:00,smartmeter,95924,,456.0,,
2023-06-30T00:00:00+09:00,smartmeter,95925,,,4.1,1.3
2023-06-30T00:00:00+09:00,smartmeter,95926,6597.81,,,
2023-06-30T00:01:00+09:00,smartmeter,95927,,468.0,,
2023-06-30T00:01:00+09:00,smartmeter,95928,,,4.2,1.4
2023-06-30T00:02:00+09:00,smartmeter,95929,,460.0,,
2023-06-30T00:02:00+09:00,smartmeter,95930,,,4.0,1.4
2023-06-30T00:03:00+09:00,smartmeter,95931,,452.0,,
2023-06-30T00:03:00+09:00,smartmeter,95932,,,4.0,1.3
2023-06-30T00:04:00+09:00,smartmeter,95933,,1004.0,,
2023-06-30T00:04:00+09:00,smartmeter,95934,,,10.1,1.3
2023-06-30T00:05:00+09:00,smartmeter,95935,,436.0,,
2023-06-30T00:05:00+09:00,smartmeter,95936,,,3.9,1.3
2023-06-30T00:06:00+09:00,smartmeter,95937,,448.0,,
2023-06-30T00:06:00+09:00,smartmeter,95938,,,4.0,1.3
2023-06-30T00:07:00+09:00,smartmeter,95939,,436.0,,
2023-06-30T00:07:00+09:00,smartmeter,95940,,,3.9,1.3
2023-06-30T00:08:00+09:00,smartmeter,95941,,496.0,,
2023-06-30T00:08:00+09:00,smartmeter,95942,,,4.0,1.7
2023-06-30T00:09:00+09:00,smartmeter,95943,,460.0,,
2023-06-30T00:09:00+09:00,smartmeter,95944,,,4.1,1.3
2023-06-30T00:10:00+09:00,smartmeter,95945,,460.0,,
2023-06-30T00:10:00+09:00,smartmeter,95946,,,4.1,1.3
2023-06-30T00:11:00+09:00,smartmeter,95947,,508.0,,
2023-06-30T00:11:00+09:00,smartmeter,95948,,,4.2,1.7
2023-06-30T00:12:00+09:00,smartmeter,95949,,464.0,,
2023-06-30T00:12:00+09:00,smartmeter,95950,,,4.2,1.3
2023-06-30T00:13:00+09:00,smartmeter,95951,,468.0,,
2023-06-30T00:13:00+09:00,smartmeter,95952,,,4.3,1.1
2023-06-30T00:14:00+09:00,smartmeter,95953,,516.0,,
2023-06-30T00:14:00+09:00,smartmeter,95954,,,4.2,1.7
2023-06-30T00:15:00+09:00,smartmeter,95955,,452.0,,
2023-06-30T00:15:00+09:00,smartmeter,95956,,,4.2,1.1
2023-06-30T00:16:00+09:00,smartmeter,95957,,452.0,,
2023-06-30T00:16:00+09:00,smartmeter,95958,,,4.2,1.1
2023-06-30T00:17:00+09:00,smartmeter,95959,,480.0,,
2023-06-30T00:17:00+09:00,smartmeter,95960,,,4.4,1.3
2023-06-30T00:18:00+09:00,smartmeter,95961,,456.0,,
2023-06-30T00:18:00+09:00,smartmeter,95962,,,4.3,1.1
2023-06-30T00:19:00+09:00,smartmeter,95963,,456.0,,
2023-06-30T00:19:00+09:00,smartmeter,95964,,,4.3,1.1
