measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2022-12-27T00:00:00+09:00,smartmeter,33,,1028.0,,
2022-12-27T00:00:00+09:00,smartmeter,35,3691.2,,,
2022-12-27T00:01:00+09:00,smartmeter,36,,1028.0,,
2022-12-27T00:01:00+09:00,smartmeter,37,,,7.1,3.7
2022-12-27T00:02:00+09:00,smartmeter,38,,1040.0,,
2022-12-27T00:02:00+09:00,smartmeter,39,,,7.2,3.8
2022-12-27T00:03:00+09:00,smartmeter,40,,1096.0,,
2022-12-27T00:03:00+09:00,smartmeter,41,,,7.7,3.8
2022-12-27T00:04:00+09:00,smartmeter,43,,,6.2,3.5
2022-12-27T00:05:00+09:00,smartmeter,44,,968.0,,
2022-12-27T00:05:00+09:00,smartmeter,45,,,6.5,3.7
2022-12-27T00:06:00+09:00,smartmeter,46,,920.0,,
2022-12-27T00:06:00+09:00,smartmeter,47,,,6.2,3.5
2022-12-27T00:07:00+09:00,smartmeter,48,,852.0,,
2022-12-27T00:07:00+09:00,smartmeter,49,,,6.1,3.0
2022-12-27T00:08:00+09:00,smartmeter,50,,844.0,,
2022-12-27T00:08:00+09:00,smartmeter,51,,,6.1,2.9
2022-12-27T00:09:00+09:00,smartmeter,52,,588.0,,
2022-12-27T00:09:00+09:00,smartmeter,53,,,4.9,1.5
2022-12-27T00:10:00+09:00,smartmeter,54,,576.0,,
2022-12-27T00:10:00+09:00,smartmeter,55,,,4.8,1.5
2022-12-27T00:11:00+09:00,smartmeter,56,,544.0,,
2022-12-27T00:11:00+09:00,smartmeter,57,,,4.5,1.5
2022-12-27T00:12:00+09:00,smartmeter,58,,616.0,,
2022-12-27T00:12:00+09:00,smartmeter,59,,,4.7,1.9
2022-12-27T00:13:00+09:00,smartmeter,60,,872.0,,
2022-12-27T00:13:00+09:00,smartmeter,61,,,6.1,3.0
2022-12-27T00:14:00+09:00,smartmeter,62,,860.0,,
2022-12-27T00:14:00+09:00,smartmeter,63,,,6.2,2.9
2022-12-27T00:15:00+09:00,smartmeter,64,,872.0,,
2022-12-27T00:15:00+09:00,smartmeter,65,,,6.2,3.1
2022-12-27T00:16:00+09:00,smartmeter,66,,912.0,,
2022-12-27T00:16:00+09:00,smartmeter,67,,,6.5,3.1
2022-12-27T00:17:00+09:00,smartmeter,68,,936.0,,
2022-12-27T00:17:00+09:00,smartmeter,69,,,6.7,3.1
2022-12-27T00:18:00+09:00,smartmeter,70,,944.0,,
2022-12-27T00:18:00+09:00,smartmeter,71,,,6.6,3.3
2022-12-27T00:19:00+09:00,smartmeter,72,,972.0,,
2022-12-27T00:19:00+09:00,smartmeter,73,,,6.5,3.6
2022-12-27T00:20:00+09:00,smartmeter,74,,916.0,,
2022-12-27T00:20:00+09:00,smartmeter,75,,,6.0,3.5
2022-12-27T00:21:00+09:00,smartmeter,76,,888.0,,
2022-12-27T00:21:00+09:00,smartmeter,77,,,6.1,3.2
2022-12-27T00:22:00+09:00,smartmeter,78,,780.0,,
2022-12-27T00:22:00+09:00,smartmeter,79,,,5.4,2.8
2022-12-27T00:23:00+09:00,smartmeter,80,,832.0,,
2022-12-27T00:23:00+09:00,smartmeter,81,,,5.6,3.2
2022-12-27T00:24:00+09:00,smartmeter,82,,564.0,,
2022-12-27T00:24:00+09:00,smartmeter,83,,,4.5,1.7
2022-12-27T00:25:00+09:00,smartmeter,84,,992.0,,
2022-12-27T00:25:00+09:00,smartmeter,85,,,4.2,6.0
2022-12-27T00:26:00+09:00,smartmeter,86,,712.0,,
2022-12-27T00:26:00+09:00,smartmeter,87,,,5.6,2.1
2022-12-27T18:33:00+09:00,smartmeter,0,,1420.0,,
2022-12-27T18:33:00+09:00,smartmeter,1,,,9.3,5.7
2022-12-27T18:30:00+09:00,smartmeter,2,3703.53,,,
2022-12-27T18:34:00+09:00,smartmeter,3,,1692.0,,
2022-12-27T18:34:00+09:00,smartmeter,4,,,8.5,9.0
2022-12-27T18:35:00+09:00,smartmeter,5,,1276.0,,
2022-12-27T18:35:00+09:00,smartmeter,6,,,8.8,4.7
2022-12-27T18:36:00+09:00,smartmeter,7,,1216.0,,
2022-12-27T18:36:00+09:00,smartmeter,8,,,8.2,4.7
2022-12-27T18:39:00+09:00,smartmeter,0,,1452.0,,
2022-12-27T18:39:00+09:00,smartmeter,1,,,8.2,6.9
2022-12-27T18:30:00+09:00,smartmeter,2,3703.53,,,
2022-12-27T18:40:00+09:00,smartmeter,3,,1672.0,,
2022-12-27T18:40:00+09:00,smartmeter,4,,,8.8,8.4
2022-12-27T18:41:00+09:00,smartmeter,5,,1604.0,,
2022-12-27T18:41:00+09:00,smartmeter,6,,,8.4,8.1
2022-12-27T18:42:00+09:00,smartmeter,7,,1552.0,,
2022-12-27T18:42:00+09:00,smartmeter,8,,,8.3,7.8
2022-12-27T18:43:00+09:00,smartmeter,9,,1540.0,,
2022-12-27T18:43:00+09:00,smartmeter,10,,,9.0,6.9
2022-12-27T18:44:00+09:00,smartmeter,11,,1548.0,,
2022-12-27T18:44:00+09:00,smartmeter,12,,,8.7,7.4
2022-12-27T18:45:00+09:00,smartmeter,13,,1452.0,,
2022-12-27T18:45:00+09:00,smartmeter,14,,,8.7,6.5
2022-12-27T18:46:00+09:00,smartmeter,15,,1612.0,,
2022-12-27T18:46:00+09:00,smartmeter,16,,,8.4,8.2
2022-12-27T18:47:00+09:00,smartmeter,17,,1468.0,,
2022-12-27T18:47:00+09:00,smartmeter,18,,,8.9,6.4
2022-12-27T18:48:00+09:00,smartmeter,19,,1508.0,,
2022-12-27T18:48:00+09:00,smartmeter,20,,,7.9,7.6
2022-12-27T18:49:00+09:00,smartmeter,21,,1336.0,,
