measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2023-08-07T00:00:00+09:00,smartmeter,199220,,648.0,,
2023-08-07T00:00:00+09:00,smartmeter,199221,,,4.8,2.3
2023-08-07T00:00:00+09:00,smartmeter,199222,7312.79,,,
2023-08-07T00:01:00+09:00,smartmeter,199223,,668.0,,
2023-08-07T00:01:00+09:00,smartmeter,199224,,,4.9,2.3
2023-08-07T00:02:00+09:00,smartmeter,199225,,656.0,,
2023-08-07T00:02:00+09:00,smartmeter,199226,,,4.8,2.4
2023-08-07T00:03:00+09:00,smartmeter,199227,,652.0,,
2023-08-07T00:03:00+09:00,smartmeter,199228,,,4.8,2.3
2023-08-07T00:04:00+09:00,smartmeter,199229,,652.0,,
2023-08-07T00:04:00+09:00,smartmeter,199230,,,4.8,2.3
2023-08-07T00:05:00+09:00,smartmeter,199231,,648.0,,
2023-08-07T00:05:00+09:00,smartmeter,199232,,,4.8,2.3
2023-08-07T00:06:00+09:00,smartmeter,199233,,648.0,,
2023-08-07T00:06:00+09:00,smartmeter,199234,,,4.8,2.3
2023-08-07T00:07:00+09:00,smartmeter,199235,,652.0,,
2023-08-07T00:07:00+09:00,smartmeter,199236,,,4.8,2.3
2023-08-07T00:08:00+09:00,smartmeter,199237,,648.0,,
2023-08-07T00:08:00+09:00,smartmeter,199238,,,4.8,2.3
2023-08-07T00:09:00+09:00,smartmeter,199239,,656.0,,
2023-08-07T00:09:00+09:00,smartmeter,199240,,,4.8,2.4
2023-08-07T00:10:00+09:00,smartmeter,199241,,644.0,,
2023-08-07T00:10:00+09:00,smartmeter,199242,,,4.8,2.3
2023-08-07T00:11:00+09:00,smartmeter,199243,,636.0,,
2023-08-07T00:11:00+09:00,smartmeter,199244,,,4.8,2.2
2023-08-07T00:12:00+09:00,smartmeter,199245,,632.0,,
2023-08-07T00:12:00+09:00,smartmeter,199246,,,4.7,2.1
2023-08-07T00:13:00+09:00,smartmeter,199247,,536.0,,
2023-08-07T00:13:00+09:00,smartmeter,199248,,,3.6,2.2
2023-08-07T00:14:00+09:00,smartmeter,199249,,568.0,,
2023-08-07T00:14:00+09:00,smartmeter,199250,,,3.6,2.5
2023-08-07T00:15:00+09:00,smartmeter,199251,,536.0,,
2023-08-07T00:15:00+09:00,smartmeter,199252,,,3.6,2.2
2023-08-07T00:16:00+09:00,smartmeter,199253,,536.0,,
