measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2022-10-09T00:00:00+09:00,smartmeter,,,680.0,,
2022-10-09T00:00:00+09:00,smartmeter,,,,4.6,2.6
2022-10-09T00:00:00+09:00,smartmeter,,2412.39,,,
2022-10-09T00:01:00+09:00,smartmeter,,,684.0,,
2022-10-09T00:01:00+09:00,smartmeter,,,,4.6,2.6
2022-10-09T00:02:00+09:00,smartmeter,,,716.0,,
2022-10-09T00:02:00+09:00,smartmeter,,,,4.5,2.9
2022-10-09T00:03:00+09:00,smartmeter,,,744.0,,
2022-10-09T00:03:00+09:00,smartmeter,,,,4.6,3.1
2022-10-09T00:04:00+09:00,smartmeter,,,712.0,,
2022-10-09T00:04:00+09:00,smartmeter,,,,4.5,2.9
2022-10-09T00:05:00+09:00,smartmeter,,,632.0,,
2022-10-09T00:05:00+09:00,smartmeter,,,,4.0,2.6
2022-10-09T00:06:00+09:00,smartmeter,,,640.0,,
2022-10-09T00:06:00+09:00,smartmeter,,,,4.1,2.6
2022-10-09T00:07:00+09:00,smartmeter,,,640.0,,
2022-10-09T00:07:00+09:00,smartmeter,,,,4.1,2.6
2022-10-09T00:08:00+09:00,smartmeter,,,648.0,,
2022-10-09T00:08:00+09:00,smartmeter,,,,4.2,2.6
2022-10-09T00:09:00+09:00,smartmeter,,,620.0,,
2022-10-09T00:09:00+09:00,smartmeter,,,,4.0,2.6
2022-10-09T00:10:00+09:00,smartmeter,,,660.0,,
2022-10-09T00:10:00+09:00,smartmeter,,,,4.0,3.0
2022-10-09T00:11:00+09:00,smartmeter,,,684.0,,
2022-10-09T00:11:00+09:00,smartmeter,,,,4.0,3.1
2022-10-09T00:12:00+09:00,smartmeter,,,624.0,,
2022-10-09T00:12:00+09:00,smartmeter,,,,4.0,2.6
2022-10-09T00:13:00+09:00,smartmeter,,,616.0,,
2022-10-09T00:13:00+09:00,smartmeter,,,,3.9,2.6
2022-10-09T00:14:00+09:00,smartmeter,,,632.0,,
2022-10-09T00:14:00+09:00,smartmeter,,,,4.1,2.6
2022-10-09T00:15:00+09:00,smartmeter,,,504.0,,
2022-10-09T00:15:00+09:00,smartmeter,,,,3.1,2.6
2022-10-09T00:16:00+09:00,smartmeter,,,544.0,,
2022-10-09T00:16:00+09:00,smartmeter,,,,3.0,3.0
2022-10-09T00:17:00+09:00,smartmeter,,,544.0,,
2022-10-09T00:17:00+09:00,smartmeter,,,,3.0,3.1
2022-10-09T00:18:00+09:00,smartmeter,,,676.0,,
2022-10-09T00:18:00+09:00,smartmeter,,,,5.1,2.6
2022-10-09T00:19:00+09:00,smartmeter,,,688.0,,
2022-10-09T00:19:00+09:00,smartmeter,,,,5.2,2.6
2022-10-09T00:20:00+09:00,smartmeter,,,688.0,,
2022-10-09T00:20:00+09:00,smartmeter,,,,5.2,2.6
2022-10-09T00:21:00+09:00,smartmeter,,,692.0,,
2022-10-09T00:21:00+09:00,smartmeter,,,,5.3,2.6
2022-10-09T00:22:00+09:00,smartmeter,,,684.0,,
2022-10-09T00:22:00+09:00,smartmeter,,,,5.2,2.6
2022-10-09T00:24:00+09:00,smartmeter,,,748.0,,
2022-10-09T00:24:00+09:00,smartmeter,,,,5.2,3.1
2022-10-09T00:25:00+09:00,smartmeter,,,688.0,,
2022-10-09T00:25:00+09:00,smartmeter,,,,5.1,2.6
2022-10-09T00:26:00+09:00,smartmeter,,,672.0,,
2022-10-09T00:26:00+09:00,smartmeter,,,,5.0,2.6
2022-10-09T00:27:00+09:00,smartmeter,,,664.0,,
2022-10-09T00:27:00+09:00,smartmeter,,,,4.9,2.6
2022-10-09T00:28:00+09:00,smartmeter,,,660.0,,
2022-10-09T00:28:00+09:00,smartmeter,,,,4.9,2.6
2022-10-09T00:29:00+09:00,smartmeter,,,684.0,,
2022-10-09T00:29:00+09:00,smartmeter,,,,4.8,2.8
2022-10-09T00:30:00+09:00,smartmeter,,,728.0,,
2022-10-09T00:30:00+09:00,smartmeter,,,,5.0,3.1
2022-10-09T00:30:00+09:00,smartmeter,,2412.72,,,
2022-10-09T00:31:00+09:00,smartmeter,,,692.0,,
2022-10-09T00:31:00+09:00,smartmeter,,,,5.0,2.7
2022-10-09T00:32:00+09:00,smartmeter,,,672.0,,
2022-10-09T00:32:00+09:00,smartmeter,,,,4.9,2.6
2022-10-09T00:33:00+09:00,smartmeter,,,652.0,,
2022-10-09T00:33:00+09:00,smartmeter,,,,4.8,2.6
2022-10-09T00:34:00+09:00,smartmeter,,,656.0,,
2022-10-09T00:34:00+09:00,smartmeter,,,,4.8,2.6
2022-10-09T00:35:00+09:00,smartmeter,,,656.0,,
2022-10-09T00:35:00+09:00,smartmeter,,,,4.8,2.6
2022-10-09T00:36:00+09:00,smartmeter,,,708.0,,
2022-10-09T00:36:00+09:00,smartmeter,,,,4.8,3.1
2022-10-09T00:37:00+09:00,smartmeter,,,720.0,,
2022-10-09T00:37:00+09:00,smartmeter,,,,4.8,3.1
2022-10-09T00:38:00+09:00,smartmeter,,,668.0,,
2022-10-09T00:38:00+09:00,smartmeter,,,,4.9,2.6
2022-10-09T00:39:00+09:00,smartmeter,,,668.0,,
2022-10-09T00:39:00+09:00,smartmeter,,,,4.9,2.6
2022-10-09T00:40:00+09:00,smartmeter,,,648.0,,
2022-10-09T00:40:00+09:00,smartmeter,,,,4.7,2.6
2022-10-09T00:41:00+09:00,smartmeter,,,644.0,,
2022-10-09T00:41:00+09:00,smartmeter,,,,4.7,2.6
2022-10-09T00:42:00+09:00,smartmeter,,,644.0,,
2022-10-09T00:42:00+09:00,smartmeter,,,,4.7,2.6
2022-10-09T00:43:00+09:00,smartmeter,,,688.0,,
2022-10-09T00:43:00+09:00,smartmeter,,,,4.7,3.0
2022-10-09T00:44:00+09:00,smartmeter,,,716.0,,
2022-10-09T00:44:00+09:00,smartmeter,,,,4.8,3.1
2022-10-09T00:45:00+09:00,smartmeter,,,672.0,,
2022-10-09T00:45:00+09:00,smartmeter,,,,4.9,2.7
2022-10-09T00:46:00+09:00,smartmeter,,,660.0,,
2022-10-09T00:46:00+09:00,smartmeter,,,,4.8,2.6
2022-10-09T00:47:00+09:00,smartmeter,,,640.0,,
2022-10-09T00:47:00+09:00,smartmeter,,,,4.6,2.6
2022-10-09T00:49:00+09:00,smartmeter,,,688.0,,
2022-10-09T00:49:00+09:00,smartmeter,,,,4.5,3.3
2022-10-09T00:50:00+09:00,smartmeter,,,640.0,,
2022-10-09T00:50:00+09:00,smartmeter,,,,4.4,2.8
2022-10-09T00:51:00+09:00,smartmeter,,,596.0,,
2022-10-09T00:51:00+09:00,smartmeter,,,,3.9,2.8
2022-10-09T00:52:00+09:00,smartmeter,,,536.0,,
2022-10-09T00:52:00+09:00,smartmeter,,,,3.8,2.3
2022-10-09T00:53:00+09:00,smartmeter,,,556.0,,
2022-10-09T00:53:00+09:00,smartmeter,,,,4.0,2.3
2022-10-09T00:54:00+09:00,smartmeter,,,540.0,,
2022-10-09T00:54:00+09:00,smartmeter,,,,3.9,2.3
2022-10-09T00:55:00+09:00,smartmeter,,,788.0,,
2022-10-09T00:55:00+09:00,smartmeter,,,,3.9,4.6
2022-10-09T00:56:00+09:00,smartmeter,,,608.0,,
2022-10-09T00:56:00+09:00,smartmeter,,,,4.0,2.8
2022-10-09T00:57:00+09:00,smartmeter,,,608.0,,
2022-10-09T00:57:00+09:00,smartmeter,,,,4.0,2.8
2022-10-09T00:58:00+09:00,smartmeter,,,556.0,,
2022-10-09T00:58:00+09:00,smartmeter,,,,4.0,2.3
2022-10-09T00:59:00+09:00,smartmeter,,,552.0,,
2022-10-09T00:59:00+09:00,smartmeter,,,,4.0,2.3
2022-10-09T01:00:00+09:00,smartmeter,,,572.0,,
2022-10-09T01:00:00+09:00,smartmeter,,,,4.2,2.3
2022-10-09T01:00:00+09:00,smartmeter,,2413.04,,,
2022-10-09T01:01:00+09:00,smartmeter,,,632.0,,
2022-10-09T01:01:00+09:00,smartmeter,,,,4.9,2.2
2022-10-09T01:02:00+09:00,smartmeter,,,656.0,,
2022-10-09T01:02:00+09:00,smartmeter,,,,4.8,2.5
2022-10-09T01:03:00+09:00,smartmeter,,,664.0,,
2022-10-09T01:03:00+09:00,smartmeter,,,,4.6,2.8
2022-10-09T01:04:00+09:00,smartmeter,,,616.0,,
2022-10-09T01:04:00+09:00,smartmeter,,,,4.6,2.4
2022-10-09T01:05:00+09:00,smartmeter,,,588.0,,
2022-10-09T01:05:00+09:00,smartmeter,,,,4.5,2.3
2022-10-09T01:07:00+09:00,smartmeter,,,584.0,,
2022-10-09T01:07:00+09:00,smartmeter,,,,4.4,2.3
2022-10-09T01:08:00+09:00,smartmeter,,,600.0,,
