measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2023-04-04T00:00:00+09:00,smartmeter,23767,,548.0,,
2023-04-04T00:00:00+09:00,smartmeter,23768,,,4.5,1.4
2023-04-04T00:00:00+09:00,smartmeter,23769,5326.06,,,
2023-04-04T00:01:00+09:00,smartmeter,23770,,540.0,,
2023-04-04T00:01:00+09:00,smartmeter,23771,,,4.4,1.5
2023-04-04T00:02:00+09:00,smartmeter,23772,,560.0,,
2023-04-04T00:02:00+09:00,smartmeter,23773,,,4.2,1.8
2023-04-04T00:03:00+09:00,smartmeter,23774,,564.0,,
2023-04-04T00:03:00+09:00,smartmeter,23775,,,4.3,1.8
2023-04-04T00:04:00+09:00,smartmeter,23776,,600.0,,
2023-04-04T00:04:00+09:00,smartmeter,23777,,,4.4,2.1
2023-04-04T00:05:00+09:00,smartmeter,23778,,652.0,,
2023-04-04T00:05:00+09:00,smartmeter,23779,,,4.5,2.4
2023-04-04T00:06:00+09:00,smartmeter,23780,,644.0,,
2023-04-04T00:06:00+09:00,smartmeter,23781,,,4.5,2.3
2023-04-04T00:07:00+09:00,smartmeter,23782,,608.0,,
2023-04-04T00:07:00+09:00,smartmeter,23783,,,4.3,2.2
2023-04-04T00:08:00+09:00,smartmeter,23784,,572.0,,
2023-04-04T00:08:00+09:00,smartmeter,23785,,,4.2,2.0
2023-04-04T00:09:00+09:00,smartmeter,23786,,548.0,,
2023-04-04T00:09:00+09:00,smartmeter,23787,,,4.2,1.8
2023-04-04T00:10:00+09:00,smartmeter,23788,,552.0,,
2023-04-04T00:10:00+09:00,smartmeter,23789,,,4.3,1.8
2023-04-04T00:11:00+09:00,smartmeter,23790,,968.0,,
2023-04-04T00:11:00+09:00,smartmeter,23791,,,4.4,5.6
2023-04-04T00:12:00+09:00,smartmeter,23792,,424.0,,
2023-04-04T00:12:00+09:00,smartmeter,23793,,,3.2,1.8
2023-04-04T00:13:00+09:00,smartmeter,23794,,388.0,,
2023-04-04T00:13:00+09:00,smartmeter,23795,,,3.0,1.7
2023-04-04T00:14:00+09:00,smartmeter,23796,,380.0,,
2023-04-04T00:14:00+09:00,smartmeter,23797,,,2.9,1.7
2023-04-04T00:15:00+09:00,smartmeter,23798,,384.0,,
2023-04-04T00:15:00+09:00,smartmeter,23799,,,2.9,1.7
2023-04-04T00:16:00+09:00,smartmeter,23800,,416.0,,
2023-04-04T00:16:00+09:00,smartmeter,23801,,,3.0,1.8
2023-04-04T00:17:00+09:00,smartmeter,23802,,556.0,,
2023-04-04T00:17:00+09:00,smartmeter,23803,,,4.6,1.8
2023-04-04T00:18:00+09:00,smartmeter,23804,,472.0,,
2023-04-04T00:18:00+09:00,smartmeter,23805,,,3.8,1.8
2023-04-04T00:19:00+09:00,smartmeter,23806,,388.0,,
2023-04-04T00:19:00+09:00,smartmeter,23807,,,2.7,1.8
2023-04-04T00:20:00+09:00,smartmeter,23808,,392.0,,
2023-04-04T00:20:00+09:00,smartmeter,23809,,,2.8,1.8
2023-04-04T00:21:00+09:00,smartmeter,23810,,452.0,,
