measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2023-01-28T00:00:00+09:00,smartmeter,76829,,440.0,,
2023-01-28T00:00:00+09:00,smartmeter,76830,,,2.1,3.0
2023-01-28T00:00:00+09:00,smartmeter,76831,4274.2,,,
2023-01-28T00:01:00+09:00,smartmeter,76832,,536.0,,
2023-01-28T00:01:00+09:00,smartmeter,76833,,,2.1,3.9
2023-01-28T00:02:00+09:00,smartmeter,76834,,560.0,,
2023-01-28T00:02:00+09:00,smartmeter,76835,,,2.3,3.9
2023-01-28T00:03:00+09:00,smartmeter,76836,,632.0,,
2023-01-28T00:03:00+09:00,smartmeter,76837,,,2.2,4.8
2023-01-28T00:04:00+09:00,smartmeter,76838,,612.0,,
2023-01-28T00:04:00+09:00,smartmeter,76839,,,2.2,4.5
2023-01-28T00:05:00+09:00,smartmeter,76840,,576.0,,
2023-01-28T00:05:00+09:00,smartmeter,76841,,,2.2,4.3
2023-01-28T00:06:00+09:00,smartmeter,76842,,580.0,,
2023-01-28T00:06:00+09:00,smartmeter,76843,,,2.6,3.8
2023-01-28T00:07:00+09:00,smartmeter,76844,,492.0,,
2023-01-28T00:07:00+09:00,smartmeter,76845,,,2.1,3.3
2023-01-28T00:08:00+09:00,smartmeter,76846,,680.0,,
2023-01-28T00:08:00+09:00,smartmeter,76847,,,2.7,4.6
2023-01-28T00:09:00+09:00,smartmeter,76848,,524.0,,
2023-01-28T00:09:00+09:00,smartmeter,76849,,,2.8,2.9
2023-01-28T00:10:00+09:00,smartmeter,76850,,492.0,,
2023-01-28T00:10:00+09:00,smartmeter,76851,,,2.6,2.9
2023-01-28T00:11:00+09:00,smartmeter,76852,,512.0,,
2023-01-28T00:11:00+09:00,smartmeter,76853,,,2.8,2.9
2023-01-28T00:12:00+09:00,smartmeter,76854,,680.0,,
2023-01-28T00:12:00+09:00,smartmeter,76855,,,2.7,4.7
2023-01-28T00:13:00+09:00,smartmeter,76856,,652.0,,
2023-01-28T00:13:00+09:00,smartmeter,76857,,,2.9,4.1
2023-01-28T00:14:00+09:00,smartmeter,76858,,624.0,,
2023-01-28T00:14:00+09:00,smartmeter,76859,,,3.6,3.3
2023-01-28T00:15:00+09:00,smartmeter,76860,,560.0,,
2023-01-28T00:15:00+09:00,smartmeter,76861,,,3.5,2.8
2023-01-28T00:16:00+09:00,smartmeter,76862,,788.0,,
2023-01-28T00:16:00+09:00,smartmeter,76863,,,3.8,4.7
2023-01-28T00:17:00+09:00,smartmeter,76864,,768.0,,
2023-01-28T00:17:00+09:00,smartmeter,76865,,,3.8,4.4
2023-01-28T00:18:00+09:00,smartmeter,76866,,788.0,,
2023-01-28T00:18:00+09:00,smartmeter,76867,,,5.6,2.8
2023-01-28T00:19:00+09:00,smartmeter,76868,,568.0,,
2023-01-28T00:19:00+09:00,smartmeter,76869,,,3.6,2.8
2023-01-28T00:20:00+09:00,smartmeter,76870,,812.0,,
2023-01-28T00:20:00+09:00,smartmeter,76871,,,4.0,4.6
2023-01-28T00:21:00+09:00,smartmeter,76872,,640.0,,
2023-01-28T00:21:00+09:00,smartmeter,76873,,,3.7,3.3
2023-01-28T00:22:00+09:00,smartmeter,76874,,680.0,,
2023-01-28T00:22:00+09:00,smartmeter,76875,,,3.8,3.6
2023-01-28T00:23:00+09:00,smartmeter,76876,,732.0,,
2023-01-28T00:23:00+09:00,smartmeter,76877,,,3.6,4.4
2023-01-28T00:24:00+09:00,smartmeter,76878,,688.0,,
2023-01-28T00:24:00+09:00,smartmeter,76879,,,2.8,4.6
2023-01-28T00:25:00+09:00,smartmeter,76880,,744.0,,
2023-01-28T00:25:00+09:00,smartmeter,76881,,,4.5,3.1
2023-01-28T00:26:00+09:00,smartmeter,76882,,600.0,,
2023-01-28T00:26:00+09:00,smartmeter,76883,,,3.5,2.8
2023-01-28T00:27:00+09:00,smartmeter,76884,,916.0,,
2023-01-28T00:27:00+09:00,smartmeter,76885,,,6.6,2.8
2023-01-28T00:28:00+09:00,smartmeter,76886,,692.0,,
2023-01-28T00:28:00+09:00,smartmeter,76887,,,3.8,3.3
2023-01-28T00:29:00+09:00,smartmeter,76888,,700.0,,
2023-01-28T00:29:00+09:00,smartmeter,76889,,,3.8,3.4
2023-01-28T00:30:00+09:00,smartmeter,76890,,724.0,,
2023-01-28T00:30:00+09:00,smartmeter,76891,,,3.8,3.7
2023-01-28T00:30:00+09:00,smartmeter,76892,4274.53,,,
2023-01-28T00:31:00+09:00,smartmeter,76893,,664.0,,
2023-01-28T00:31:00+09:00,smartmeter,76894,,,4.1,2.8
2023-01-28T00:32:00+09:00,smartmeter,76895,,812.0,,
2023-01-28T00:32:00+09:00,smartmeter,76896,,,3.6,4.8
2023-01-28T00:33:00+09:00,smartmeter,76897,,700.0,,
2023-01-28T00:33:00+09:00,smartmeter,76898,,,3.7,3.6
2023-01-28T00:34:00+09:00,smartmeter,76899,,752.0,,
2023-01-28T00:34:00+09:00,smartmeter,76900,,,3.8,4.1
2023-01-28T00:35:00+09:00,smartmeter,76901,,612.0,,
2023-01-28T00:35:00+09:00,smartmeter,76902,,,3.7,2.8
2023-01-28T00:36:00+09:00,smartmeter,76903,,728.0,,
2023-01-28T00:36:00+09:00,smartmeter,76904,,,4.3,3.3
2023-01-28T00:37:00+09:00,smartmeter,76905,,824.0,,
2023-01-28T00:37:00+09:00,smartmeter,76906,,,4.4,4.2
2023-01-28T00:38:00+09:00,smartmeter,76907,,760.0,,
2023-01-28T00:38:00+09:00,smartmeter,76908,,,4.6,3.3
2023-01-28T00:39:00+09:00,smartmeter,76909,,648.0,,
2023-01-28T00:39:00+09:00,smartmeter,76910,,,4.1,2.7
2023-01-28T00:40:00+09:00,smartmeter,76911,,880.0,,
2023-01-28T00:40:00+09:00,smartmeter,76912,,,4.5,4.6
2023-01-28T00:41:00+09:00,smartmeter,76913,,812.0,,
2023-01-28T00:41:00+09:00,smartmeter,76914,,,4.3,4.1
2023-01-28T00:42:00+09:00,smartmeter,76915,,680.0,,
2023-01-28T00:42:00+09:00,smartmeter,76916,,,4.3,2.7
2023-01-28T00:43:00+09:00,smartmeter,76917,,648.0,,
2023-01-28T00:43:00+09:00,smartmeter,76918,,,4.1,2.7
2023-01-28T00:44:00+09:00,smartmeter,76919,,776.0,,
2023-01-28T00:44:00+09:00,smartmeter,76920,,,4.4,3.7
2023-01-28T00:45:00+09:00,smartmeter,76921,,548.0,,
2023-01-28T00:45:00+09:00,smartmeter,76922,,,2.7,3.3
2023-01-28T00:46:00+09:00,smartmeter,76923,,916.0,,
2023-01-28T00:46:00+09:00,smartmeter,76924,,,2.5,7.2
2023-01-28T00:47:00+09:00,smartmeter,76925,,564.0,,
2023-01-28T00:47:00+09:00,smartmeter,76926,,,2.5,3.8
2023-01-28T00:48:00+09:00,smartmeter,76927,,700.0,,
2023-01-28T00:48:00+09:00,smartmeter,76928,,,3.8,3.9
2023-01-28T00:49:00+09:00,smartmeter,76929,,764.0,,
2023-01-28T00:49:00+09:00,smartmeter,76930,,,5.4,2.7
2023-01-28T00:50:00+09:00,smartmeter,76931,,560.0,,
2023-01-28T00:50:00+09:00,smartmeter,76932,,,3.6,2.7
2023-01-28T00:51:00+09:00,smartmeter,76933,,588.0,,
2023-01-28T00:51:00+09:00,smartmeter,76934,,,3.8,2.7
2023-01-28T00:52:00+09:00,smartmeter,76935,,776.0,,
2023-01-28T00:52:00+09:00,smartmeter,76936,,,3.8,4.6
2023-01-28T00:53:00+09:00,smartmeter,76937,,560.0,,
2023-01-28T00:53:00+09:00,smartmeter,76938,,,3.4,2.7
2023-01-28T00:54:00+09:00,smartmeter,76939,,504.0,,
2023-01-28T00:54:00+09:00,smartmeter,76940,,,3.0,2.7
2023-01-28T00:55:00+09:00,smartmeter,76941,,576.0,,
2023-01-28T00:55:00+09:00,smartmeter,76942,,,3.4,2.9
2023-01-28T00:56:00+09:00,smartmeter,76943,,584.0,,
2023-01-28T00:56:00+09:00,smartmeter,76944,,,3.1,3.2
2023-01-28T00:57:00+09:00,smartmeter,76945,,496.0,,
2023-01-28T00:57:00+09:00,smartmeter,76946,,,3.0,2.7
2023-01-28T00:58:00+09:00,smartmeter,76947,,408.0,,
2023-01-28T00:58:00+09:00,smartmeter,76948,,,2.1,2.7
2023-01-28T00:59:00+09:00,smartmeter,76949,,440.0,,
2023-01-28T00:59:00+09:00,smartmeter,76950,,,2.2,2.7
2023-01-28T01:00:00+09:00,smartmeter,76951,,492.0,,
2023-01-28T01:00:00+09:00,smartmeter,76952,,,2.3,3.2
2023-01-28T01:00:00+09:00,smartmeter,76953,4274.87,,,
2023-01-28T01:01:00+09:00,smartmeter,76954,,408.0,,
2023-01-28T01:01:00+09:00,smartmeter,76955,,,2.1,2.7
2023-01-28T01:02:00+09:00,smartmeter,76956,,444.0,,
2023-01-28T01:02:00+09:00,smartmeter,76957,,,2.3,2.7
2023-01-28T01:03:00+09:00,smartmeter,76958,,448.0,,
2023-01-28T01:03:00+09:00,smartmeter,76959,,,2.3,2.8
2023-01-28T01:04:00+09:00,smartmeter,76960,,496.0,,
2023-01-28T01:04:00+09:00,smartmeter,76961,,,2.3,3.2
2023-01-28T01:05:00+09:00,smartmeter,76962,,460.0,,
2023-01-28T01:05:00+09:00,smartmeter,76963,,,2.6,2.7
2023-01-28T01:06:00+09:00,smartmeter,76964,,512.0,,
2023-01-28T01:06:00+09:00,smartmeter,76965,,,3.0,2.7
2023-01-28T01:07:00+09:00,smartmeter,76966,,532.0,,
2023-01-28T01:07:00+09:00,smartmeter,76967,,,2.7,3.2
2023-01-28T01:08:00+09:00,smartmeter,76968,,512.0,,
2023-01-28T01:08:00+09:00,smartmeter,76969,,,2.7,3.0
2023-01-28T01:09:00+09:00,smartmeter,76970,,452.0,,
2023-01-28T01:09:00+09:00,smartmeter,76971,,,2.5,2.7
2023-01-28T01:10:00+09:00,smartmeter,76972,,476.0,,
2023-01-28T01:10:00+09:00,smartmeter,76973,,,2.7,2.7
2023-01-28T01:11:00+09:00,smartmeter,76974,,616.0,,
2023-01-28T01:11:00+09:00,smartmeter,76975,,,3.5,3.2
2023-01-28T01:12:00+09:00,smartmeter,76976,,448.0,,
2023-01-28T01:12:00+09:00,smartmeter,76977,,,2.5,2.7
2023-01-28T01:13:00+09:00,smartmeter,76978,,468.0,,
2023-01-28T01:13:00+09:00,smartmeter,76979,,,2.7,2.7
2023-01-28T01:14:00+09:00,smartmeter,76980,,680.0,,
2023-01-28T01:14:00+09:00,smartmeter,76981,,,4.3,2.8
2023-01-28T01:15:00+09:00,smartmeter,76982,,804.0,,
2023-01-28T01:15:00+09:00,smartmeter,76983,,,4.5,3.8
2023-01-28T01:16:00+09:00,smartmeter,76984,,760.0,,
2023-01-28T01:16:00+09:00,smartmeter,76985,,,4.3,3.6
2023-01-28T01:17:00+09:00,smartmeter,76986,,800.0,,
2023-01-28T01:17:00+09:00,smartmeter,76987,,,4.8,3.5
2023-01-28T01:18:00+09:00,smartmeter,76988,,716.0,,
2023-01-28T01:18:00+09:00,smartmeter,76989,,,4.5,3.0
2023-01-28T01:19:00+09:00,smartmeter,76990,,776.0,,
2023-01-28T01:19:00+09:00,smartmeter,76991,,,4.6,3.5
2023-01-28T01:20:00+09:00,smartmeter,76992,,748.0,,
2023-01-28T01:20:00+09:00,smartmeter,76993,,,4.4,3.5
2023-01-28T01:21:00+09:00,smartmeter,76994,,1064.0,,
2023-01-28T01:21:00+09:00,smartmeter,76995,,,4.8,6.0
2023-01-28T01:22:00+09:00,smartmeter,76996,,956.0,,
2023-01-28T01:22:00+09:00,smartmeter,76997,,,6.0,4.1
2023-01-28T01:23:00+09:00,smartmeter,76998,,856.0,,
2023-01-28T01:23:00+09:00,smartmeter,76999,,,4.7,4.2
2023-01-28T01:24:00+09:00,smartmeter,77000,,896.0,,
2023-01-28T01:24:00+09:00,smartmeter,77001,,,4.6,4.7
2023-01-28T01:25:00+09:00,smartmeter,77002,,1084.0,,
2023-01-28T01:25:00+09:00,smartmeter,77003,,,4.7,6.5
2023-01-28T01:26:00+09:00,smartmeter,77004,,1108.0,,
2023-01-28T01:26:00+09:00,smartmeter,77005,,,4.6,6.7
2023-01-28T01:27:00+09:00,smartmeter,77006,,1008.0,,
2023-01-28T01:27:00+09:00,smartmeter,77007,,,4.7,5.7
2023-01-28T01:28:00+09:00,smartmeter,77008,,1312.0,,
2023-01-28T01:28:00+09:00,smartmeter,77009,,,4.7,8.7
2023-01-28T01:29:00+09:00,smartmeter,77010,,1428.0,,
2023-01-28T01:29:00+09:00,smartmeter,77011,,,4.7,9.9
2023-01-28T01:30:00+09:00,smartmeter,77012,,1128.0,,
2023-01-28T01:30:00+09:00,smartmeter,77013,,,4.9,6.5
2023-01-28T01:30:00+09:00,smartmeter,77014,4275.25,,,
2023-01-28T01:31:00+09:00,smartmeter,77015,,1328.0,,
2023-01-28T01:31:00+09:00,smartmeter,77016,,,4.6,8.9
2023-01-28T01:32:00+09:00,smartmeter,77017,,860.0,,
2023-01-28T01:32:00+09:00,smartmeter,77018,,,4.3,4.6
2023-01-28T01:33:00+09:00,smartmeter,77019,,1036.0,,
2023-01-28T01:33:00+09:00,smartmeter,77020,,,4.7,5.8
2023-01-28T01:34:00+09:00,smartmeter,77021,,1132.0,,
2023-01-28T01:34:00+09:00,smartmeter,77022,,,6.6,5.0
2023-01-28T01:35:00+09:00,smartmeter,77023,,1396.0,,
2023-01-28T01:35:00+09:00,smartmeter,77024,,,7.5,6.5
2023-01-28T01:36:00+09:00,smartmeter,77025,,840.0,,
2023-01-28T01:36:00+09:00,smartmeter,77026,,,3.0,5.9
2023-01-28T01:37:00+09:00,smartmeter,77027,,824.0,,
2023-01-28T01:37:00+09:00,smartmeter,77028,,,3.0,5.7
2023-01-28T01:38:00+09:00,smartmeter,77029,,812.0,,
2023-01-28T01:38:00+09:00,smartmeter,77030,,,2.8,5.9
2023-01-28T01:39:00+09:00,smartmeter,77031,,672.0,,
2023-01-28T01:39:00+09:00,smartmeter,77032,,,3.1,4.3
2023-01-28T01:40:00+09:00,smartmeter,77033,,556.0,,
2023-01-28T01:40:00+09:00,smartmeter,77034,,,2.8,3.4
2023-01-28T01:41:00+09:00,smartmeter,77035,,788.0,,
2023-01-28T01:41:00+09:00,smartmeter,77036,,,2.8,5.7
2023-01-28T01:42:00+09:00,smartmeter,77037,,684.0,,
2023-01-28T01:42:00+09:00,smartmeter,77038,,,2.8,4.7
2023-01-28T01:43:00+09:00,smartmeter,77039,,684.0,,
2023-01-28T01:43:00+09:00,smartmeter,77040,,,2.8,4.7
2023-01-28T01:44:00+09:00,smartmeter,77041,,536.0,,
2023-01-28T01:44:00+09:00,smartmeter,77042,,,2.7,3.2
2023-01-28T01:45:00+09:00,smartmeter,77043,,712.0,,
2023-01-28T01:45:00+09:00,smartmeter,77044,,,2.6,5.1
2023-01-28T01:46:00+09:00,smartmeter,77045,,672.0,,
2023-01-28T01:46:00+09:00,smartmeter,77046,,,2.7,4.5
2023-01-28T01:47:00+09:00,smartmeter,77047,,832.0,,
2023-01-28T01:47:00+09:00,smartmeter,77048,,,2.8,6.1
2023-01-28T01:48:00+09:00,smartmeter,77049,,820.0,,
2023-01-28T01:48:00+09:00,smartmeter,77050,,,2.7,5.9
2023-01-28T01:49:00+09:00,smartmeter,77051,,908.0,,
2023-01-28T01:49:00+09:00,smartmeter,77052,,,2.5,7.0
2023-01-28T01:50:00+09:00,smartmeter,77053,,728.0,,
