measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2022-10-31T00:00:00+09:00,smartmeter,,,496.0,,
2022-10-31T00:00:00+09:00,smartmeter,,,,3.4,2.3
2022-10-31T00:00:00+09:00,smartmeter,,2808.83,,,
2022-10-31T00:01:00+09:00,smartmeter,,,492.0,,
2022-10-31T00:01:00+09:00,smartmeter,,,,3.3,2.4
2022-10-31T00:02:00+09:00,smartmeter,,,492.0,,
2022-10-31T00:02:00+09:00,smartmeter,,,,3.3,2.4
2022-10-31T00:03:00+09:00,smartmeter,,,520.0,,
2022-10-31T00:03:00+09:00,smartmeter,,,,3.5,2.4
2022-10-31T00:04:00+09:00,smartmeter,,,524.0,,
2022-10-31T00:04:00+09:00,smartmeter,,,,3.6,2.3
2022-10-31T00:05:00+09:00,smartmeter,,,528.0,,
2022-10-31T00:05:00+09:00,smartmeter,,,,3.6,2.3
2022-10-31T00:07:00+09:00,smartmeter,,,500.0,,
2022-10-31T00:07:00+09:00,smartmeter,,,,3.5,2.3
2022-10-31T00:08:00+09:00,smartmeter,,,516.0,,
2022-10-31T00:08:00+09:00,smartmeter,,,,3.6,2.3
2022-10-31T00:09:00+09:00,smartmeter,,,568.0,,
2022-10-31T00:09:00+09:00,smartmeter,,,,4.2,2.3
2022-10-31T00:10:00+09:00,smartmeter,,,592.0,,
2022-10-31T00:10:00+09:00,smartmeter,,,,4.4,2.3
2022-10-31T00:11:00+09:00,smartmeter,,,580.0,,
2022-10-31T00:11:00+09:00,smartmeter,,,,4.2,2.4
2022-10-31T00:12:00+09:00,smartmeter,,,584.0,,
2022-10-31T00:12:00+09:00,smartmeter,,,,4.0,2.7
2022-10-31T00:14:00+09:00,smartmeter,,,628.0,,
2022-10-31T00:14:00+09:00,smartmeter,,,,4.0,3.0
2022-10-31T00:15:00+09:00,smartmeter,,,1040.0,,
2022-10-31T00:15:00+09:00,smartmeter,,,,4.0,6.9
2022-10-31T00:16:00+09:00,smartmeter,,,640.0,,
2022-10-31T00:16:00+09:00,smartmeter,,,,4.1,3.0
2022-10-31T00:18:00+09:00,smartmeter,,,592.0,,
2022-10-31T00:18:00+09:00,smartmeter,,,,3.9,2.8
2022-10-31T00:19:00+09:00,smartmeter,,,576.0,,
2022-10-31T00:19:00+09:00,smartmeter,,,,3.9,2.6
2022-10-31T00:20:00+09:00,smartmeter,,,576.0,,
2022-10-31T00:20:00+09:00,smartmeter,,,,4.0,2.6
2022-10-31T00:21:00+09:00,smartmeter,,,568.0,,
2022-10-31T00:21:00+09:00,smartmeter,,,,4.0,2.5
2022-10-31T00:22:00+09:00,smartmeter,,,596.0,,
2022-10-31T00:22:00+09:00,smartmeter,,,,4.2,2.5
2022-10-31T00:23:00+09:00,smartmeter,,,504.0,,
2022-10-31T00:23:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:24:00+09:00,smartmeter,,,484.0,,
2022-10-31T00:24:00+09:00,smartmeter,,,,3.0,2.5
2022-10-31T00:25:00+09:00,smartmeter,,,488.0,,
2022-10-31T00:25:00+09:00,smartmeter,,,,3.0,2.5
2022-10-31T00:27:00+09:00,smartmeter,,,512.0,,
2022-10-31T00:27:00+09:00,smartmeter,,,,3.2,2.5
2022-10-31T00:28:00+09:00,smartmeter,,,504.0,,
2022-10-31T00:28:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:29:00+09:00,smartmeter,,,484.0,,
2022-10-31T00:29:00+09:00,smartmeter,,,,3.0,2.5
2022-10-31T00:30:00+09:00,smartmeter,,,488.0,,
2022-10-31T00:30:00+09:00,smartmeter,,,,3.0,2.5
2022-10-31T00:30:00+09:00,smartmeter,,2809.1,,,
2022-10-31T00:31:00+09:00,smartmeter,,,476.0,,
2022-10-31T00:31:00+09:00,smartmeter,,,,3.0,2.5
2022-10-31T00:32:00+09:00,smartmeter,,,840.0,,
2022-10-31T00:32:00+09:00,smartmeter,,,,3.0,6.0
2022-10-31T00:33:00+09:00,smartmeter,,,484.0,,
2022-10-31T00:33:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:34:00+09:00,smartmeter,,,500.0,,
2022-10-31T00:34:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:35:00+09:00,smartmeter,,,492.0,,
2022-10-31T00:35:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:36:00+09:00,smartmeter,,,496.0,,
2022-10-31T00:36:00+09:00,smartmeter,,,,3.1,2.5
2022-10-31T00:37:00+09:00,smartmeter,,,572.0,,
2022-10-31T00:37:00+09:00,smartmeter,,,,4.0,2.6
2022-10-31T00:38:00+09:00,smartmeter,,,568.0,,
2022-10-31T00:38:00+09:00,smartmeter,,,,3.9,2.6
2022-10-31T00:39:00+09:00,smartmeter,,,608.0,,
2022-10-31T00:39:00+09:00,smartmeter,,,,4.0,2.8
2022-10-31T00:40:00+09:00,smartmeter,,,608.0,,
2022-10-31T00:40:00+09:00,smartmeter,,,,4.0,2.8
2022-10-31T00:41:00+09:00,smartmeter,,,652.0,,
2022-10-31T00:41:00+09:00,smartmeter,,,,4.2,3.0
2022-10-31T00:42:00+09:00,smartmeter,,,660.0,,
2022-10-31T00:42:00+09:00,smartmeter,,,,4.2,3.1
2022-10-31T00:43:00+09:00,smartmeter,,,596.0,,
2022-10-31T00:43:00+09:00,smartmeter,,,,4.1,2.7
2022-10-31T00:44:00+09:00,smartmeter,,,568.0,,
2022-10-31T00:44:00+09:00,smartmeter,,,,4.1,2.4
2022-10-31T00:45:00+09:00,smartmeter,,,552.0,,
2022-10-31T00:45:00+09:00,smartmeter,,,,4.0,2.2
2022-10-31T00:46:00+09:00,smartmeter,,,544.0,,
2022-10-31T00:46:00+09:00,smartmeter,,,,4.1,2.1
2022-10-31T00:48:00+09:00,smartmeter,,,512.0,,
2022-10-31T00:48:00+09:00,smartmeter,,,,3.7,2.1
2022-10-31T00:49:00+09:00,smartmeter,,,500.0,,
2022-10-31T00:49:00+09:00,smartmeter,,,,3.6,2.1
2022-10-31T00:50:00+09:00,smartmeter,,,472.0,,
2022-10-31T00:50:00+09:00,smartmeter,,,,3.3,2.1
2022-10-31T00:51:00+09:00,smartmeter,,,472.0,,
2022-10-31T00:51:00+09:00,smartmeter,,,,3.3,2.1
2022-10-31T00:52:00+09:00,smartmeter,,,472.0,,
2022-10-31T00:52:00+09:00,smartmeter,,,,3.3,2.1
2022-10-31T00:53:00+09:00,smartmeter,,,472.0,,
2022-10-31T00:53:00+09:00,smartmeter,,,,3.3,2.1
2022-10-31T00:54:00+09:00,smartmeter,,,488.0,,
2022-10-31T00:54:00+09:00,smartmeter,,,,3.4,2.1
2022-10-31T00:55:00+09:00,smartmeter,,,472.0,,
2022-10-31T00:55:00+09:00,smartmeter,,,,3.3,2.1
2022-10-31T00:56:00+09:00,smartmeter,,,464.0,,
2022-10-31T00:56:00+09:00,smartmeter,,,,3.2,2.1
2022-10-31T00:57:00+09:00,smartmeter,,,528.0,,
2022-10-31T00:57:00+09:00,smartmeter,,,,3.9,2.1
2022-10-31T00:58:00+09:00,smartmeter,,,532.0,,
2022-10-31T00:58:00+09:00,smartmeter,,,,4.0,2.1
2022-10-31T00:59:00+09:00,smartmeter,,,556.0,,
2022-10-31T00:59:00+09:00,smartmeter,,,,4.2,2.1
2022-10-31T01:00:00+09:00,smartmeter,,,592.0,,
2022-10-31T01:00:00+09:00,smartmeter,,,,4.1,2.5
2022-10-31T01:00:00+09:00,smartmeter,,2809.37,,,
2022-10-31T01:01:00+09:00,smartmeter,,,568.0,,
2022-10-31T01:01:00+09:00,smartmeter,,,,4.0,2.5
2022-10-31T01:02:00+09:00,smartmeter,,,584.0,,
2022-10-31T01:02:00+09:00,smartmeter,,,,4.0,2.7
2022-10-31T01:03:00+09:00,smartmeter,,,604.0,,
2022-10-31T01:03:00+09:00,smartmeter,,,,4.1,2.8
2022-10-31T01:04:00+09:00,smartmeter,,,616.0,,
2022-10-31T01:04:00+09:00,smartmeter,,,,4.0,3.0
2022-10-31T01:05:00+09:00,smartmeter,,,664.0,,
2022-10-31T01:05:00+09:00,smartmeter,,,,4.2,3.2
2022-10-31T01:06:00+09:00,smartmeter,,,668.0,,
2022-10-31T01:06:00+09:00,smartmeter,,,,4.1,3.2
2022-10-31T01:08:00+09:00,smartmeter,,,636.0,,
2022-10-31T01:08:00+09:00,smartmeter,,,,3.9,3.3
2022-10-31T01:09:00+09:00,smartmeter,,,640.0,,
2022-10-31T01:09:00+09:00,smartmeter,,,,3.9,3.3
2022-10-31T01:10:00+09:00,smartmeter,,,624.0,,
2022-10-31T01:10:00+09:00,smartmeter,,,,3.8,3.2
2022-10-31T01:11:00+09:00,smartmeter,,,616.0,,
2022-10-31T01:11:00+09:00,smartmeter,,,,3.9,3.0
