measured_at,sensor_id,message_id,cumlative_kwh,instant_watt,instant_ampere_R,instant_ampere_T
2023-01-21T00:00:00+09:00,smartmeter,56355,,884.0,,
2023-01-21T00:00:00+09:00,smartmeter,56356,,,6.1,3.7
2023-01-21T00:00:00+09:00,smartmeter,56357,4133.7,,,
2023-01-21T00:01:00+09:00,smartmeter,56358,,880.0,,
2023-01-21T00:01:00+09:00,smartmeter,56359,,,6.0,3.7
2023-01-21T00:02:00+09:00,smartmeter,56360,,920.0,,
2023-01-21T00:02:00+09:00,smartmeter,56361,,,6.2,3.9
2023-01-21T00:03:00+09:00,smartmeter,56362,,1004.0,,
2023-01-21T00:03:00+09:00,smartmeter,56363,,,6.4,4.5
2023-01-21T00:04:00+09:00,smartmeter,56364,,948.0,,
2023-01-21T00:04:00+09:00,smartmeter,56365,,,6.2,4.1
2023-01-21T00:05:00+09:00,smartmeter,56366,,944.0,,
2023-01-21T00:05:00+09:00,smartmeter,56367,,,6.2,4.1
2023-01-21T00:06:00+09:00,smartmeter,56368,,928.0,,
2023-01-21T00:06:00+09:00,smartmeter,56369,,,6.2,3.9
2023-01-21T00:07:00+09:00,smartmeter,56370,,916.0,,
2023-01-21T00:07:00+09:00,smartmeter,56371,,,6.0,4.0
2023-01-21T00:08:00+09:00,smartmeter,56372,,852.0,,
2023-01-21T00:08:00+09:00,smartmeter,56373,,,5.1,4.1
2023-01-21T00:09:00+09:00,smartmeter,56374,,668.0,,
2023-01-21T00:09:00+09:00,smartmeter,56375,,,3.9,3.4
2023-01-21T00:10:00+09:00,smartmeter,56376,,680.0,,
2023-01-21T00:10:00+09:00,smartmeter,56377,,,4.0,3.4
2023-01-21T00:11:00+09:00,smartmeter,56378,,676.0,,
2023-01-21T00:11:00+09:00,smartmeter,56379,,,4.0,3.4
2023-01-21T00:12:00+09:00,smartmeter,56380,,676.0,,
2023-01-21T00:12:00+09:00,smartmeter,56381,,,3.8,3.6
2023-01-21T00:13:00+09:00,smartmeter,56382,,1104.0,,
2023-01-21T00:13:00+09:00,smartmeter,56383,,,3.9,7.5
2023-01-21T00:14:00+09:00,smartmeter,56384,,672.0,,
2023-01-21T00:14:00+09:00,smartmeter,56385,,,4.0,3.2
2023-01-21T00:15:00+09:00,smartmeter,56386,,648.0,,
2023-01-21T00:15:00+09:00,smartmeter,56387,,,3.9,3.3
2023-01-21T00:16:00+09:00,smartmeter,56388,,652.0,,
2023-01-21T00:16:00+09:00,smartmeter,56389,,,3.8,3.3
2023-01-21T00:17:00+09:00,smartmeter,56390,,724.0,,
2023-01-21T00:17:00+09:00,smartmeter,56391,,,4.0,3.8
2023-01-21T00:18:00+09:00,smartmeter,56392,,720.0,,
2023-01-21T00:18:00+09:00,smartmeter,56393,,,3.9,3.8
2023-01-21T00:19:00+09:00,smartmeter,56394,,648.0,,
2023-01-21T00:19:00+09:00,smartmeter,56395,,,3.8,3.3
2023-01-21T00:20:00+09:00,smartmeter,56396,,716.0,,
2023-01-21T00:20:00+09:00,smartmeter,56397,,,4.6,3.3
2023-01-21T00:21:00+09:00,smartmeter,56398,,732.0,,
2023-01-21T00:21:00+09:00,smartmeter,56399,,,4.7,3.3
2023-01-21T00:22:00+09:00,smartmeter,56400,,772.0,,
2023-01-21T00:22:00+09:00,smartmeter,56401,,,4.5,3.9
2023-01-21T00:23:00+09:00,smartmeter,56402,,756.0,,
2023-01-21T00:23:00+09:00,smartmeter,56403,,,4.4,3.8
2023-01-21T00:24:00+09:00,smartmeter,56404,,416.0,,
2023-01-21T00:24:00+09:00,smartmeter,56405,,,3.1,1.8
2023-01-21T00:25:00+09:00,smartmeter,56406,,420.0,,
2023-01-21T00:25:00+09:00,smartmeter,56407,,,3.1,1.8
2023-01-21T00:26:00+09:00,smartmeter,56408,,396.0,,
2023-01-21T00:26:00+09:00,smartmeter,56409,,,3.0,1.8
2023-01-21T00:27:00+09:00,smartmeter,56410,,556.0,,
2023-01-21T00:27:00+09:00,smartmeter,56411,,,3.5,2.8
2023-01-21T00:28:00+09:00,smartmeter,56412,,836.0,,
2023-01-21T00:28:00+09:00,smartmeter,56413,,,5.7,3.7
2023-01-21T00:29:00+09:00,smartmeter,56414,,852.0,,
2023-01-21T00:29:00+09:00,smartmeter,56415,,,5.9,3.5
2023-01-21T00:30:00+09:00,smartmeter,56416,,844.0,,
2023-01-21T00:30:00+09:00,smartmeter,56417,,,5.8,3.5
2023-01-21T00:30:00+09:00,smartmeter,56418,4134.08,,,
2023-01-21T00:31:00+09:00,smartmeter,56419,,844.0,,
2023-01-21T00:31:00+09:00,smartmeter,56420,,,5.9,3.5
2023-01-21T00:32:00+09:00,smartmeter,56421,,920.0,,
2023-01-21T00:32:00+09:00,smartmeter,56422,,,6.0,4.0
2023-01-21T00:33:00+09:00,smartmeter,56423,,896.0,,
2023-01-21T00:33:00+09:00,smartmeter,56424,,,5.8,4.0
2023-01-21T00:34:00+09:00,smartmeter,56425,,852.0,,
2023-01-21T00:34:00+09:00,smartmeter,56426,,,5.9,3.5
2023-01-21T00:35:00+09:00,smartmeter,56427,,876.0,,
2023-01-21T00:35:00+09:00,smartmeter,56428,,,6.0,3.5
2023-01-21T00:36:00+09:00,smartmeter,56429,,880.0,,
2023-01-21T00:36:00+09:00,smartmeter,56430,,,6.0,3.6
2023-01-21T00:37:00+09:00,smartmeter,56431,,912.0,,
2023-01-21T00:37:00+09:00,smartmeter,56432,,,5.9,4.0
2023-01-21T00:38:00+09:00,smartmeter,56433,,848.0,,
2023-01-21T00:38:00+09:00,smartmeter,56434,,,4.9,4.1
2023-01-21T00:39:00+09:00,smartmeter,56435,,812.0,,
2023-01-21T00:39:00+09:00,smartmeter,56436,,,5.1,3.6
2023-01-21T00:40:00+09:00,smartmeter,56437,,800.0,,
2023-01-21T00:40:00+09:00,smartmeter,56438,,,4.9,3.7
2023-01-21T00:41:00+09:00,smartmeter,56439,,708.0,,
2023-01-21T00:41:00+09:00,smartmeter,56440,,,4.1,3.5
2023-01-21T00:42:00+09:00,smartmeter,56441,,740.0,,
2023-01-21T00:42:00+09:00,smartmeter,56442,,,4.2,3.8
2023-01-21T00:43:00+09:00,smartmeter,56443,,744.0,,
2023-01-21T00:43:00+09:00,smartmeter,56444,,,4.1,3.8
2023-01-21T00:44:00+09:00,smartmeter,56445,,676.0,,
2023-01-21T00:44:00+09:00,smartmeter,56446,,,4.0,3.4
2023-01-21T00:45:00+09:00,smartmeter,56447,,656.0,,
2023-01-21T00:45:00+09:00,smartmeter,56448,,,3.9,3.3
2023-01-21T00:46:00+09:00,smartmeter,56449,,672.0,,
2023-01-21T00:46:00+09:00,smartmeter,56450,,,4.1,3.3
2023-01-21T00:47:00+09:00,smartmeter,56451,,672.0,,
2023-01-21T00:47:00+09:00,smartmeter,56452,,,4.1,3.3
2023-01-21T00:48:00+09:00,smartmeter,56453,,716.0,,
2023-01-21T00:48:00+09:00,smartmeter,56454,,,3.9,3.8
2023-01-21T00:49:00+09:00,smartmeter,56455,,716.0,,
2023-01-21T00:49:00+09:00,smartmeter,56456,,,4.1,3.6
2023-01-21T00:50:00+09:00,smartmeter,56457,,664.0,,
2023-01-21T00:50:00+09:00,smartmeter,56458,,,3.9,3.3
2023-01-21T00:51:00+09:00,smartmeter,56459,,700.0,,
2023-01-21T00:51:00+09:00,smartmeter,56460,,,4.5,3.3
2023-01-21T00:52:00+09:00,smartmeter,56461,,732.0,,
2023-01-21T00:52:00+09:00,smartmeter,56462,,,4.7,3.3
2023-01-21T00:53:00+09:00,smartmeter,56463,,772.0,,
2023-01-21T00:53:00+09:00,smartmeter,56464,,,4.7,3.7
2023-01-21T00:54:00+09:00,smartmeter,56465,,764.0,,
2023-01-21T00:54:00+09:00,smartmeter,56466,,,4.5,3.8
2023-01-21T00:55:00+09:00,smartmeter,56467,,708.0,,
2023-01-21T00:55:00+09:00,smartmeter,56468,,,4.5,3.3
2023-01-21T00:56:00+09:00,smartmeter,56469,,732.0,,
2023-01-21T00:56:00+09:00,smartmeter,56470,,,4.7,3.3
2023-01-21T00:57:00+09:00,smartmeter,56471,,424.0,,
2023-01-21T00:57:00+09:00,smartmeter,56472,,,3.2,1.8
2023-01-21T00:58:00+09:00,smartmeter,56473,,616.0,,
2023-01-21T00:58:00+09:00,smartmeter,56474,,,4.7,2.3
2023-01-21T00:59:00+09:00,smartmeter,56475,,552.0,,
2023-01-21T00:59:00+09:00,smartmeter,56476,,,4.0,2.3
2023-01-21T01:00:00+09:00,smartmeter,56477,,652.0,,
2023-01-21T01:00:00+09:00,smartmeter,56478,,,5.0,2.5
2023-01-21T01:00:00+09:00,smartmeter,56479,4134.45,,,
2023-01-21T01:01:00+09:00,smartmeter,56480,,776.0,,
2023-01-21T01:01:00+09:00,smartmeter,56481,,,5.6,3.1
2023-01-21T01:02:00+09:00,smartmeter,56482,,836.0,,
2023-01-21T01:02:00+09:00,smartmeter,56483,,,5.8,3.5
2023-01-21T01:03:00+09:00,smartmeter,56484,,868.0,,
2023-01-21T01:03:00+09:00,smartmeter,56485,,,5.9,3.6
2023-01-21T01:04:00+09:00,smartmeter,56486,,916.0,,
2023-01-21T01:04:00+09:00,smartmeter,56487,,,6.0,4.0
2023-01-21T01:05:00+09:00,smartmeter,56488,,864.0,,
2023-01-21T01:05:00+09:00,smartmeter,56489,,,5.9,3.6
2023-01-21T01:06:00+09:00,smartmeter,56490,,1056.0,,
2023-01-21T01:06:00+09:00,smartmeter,56491,,,5.7,5.6
2023-01-21T01:07:00+09:00,smartmeter,56492,,868.0,,
2023-01-21T01:07:00+09:00,smartmeter,56493,,,6.0,3.5
2023-01-21T01:08:00+09:00,smartmeter,56494,,776.0,,
2023-01-21T01:08:00+09:00,smartmeter,56495,,,4.8,3.5
2023-01-21T01:09:00+09:00,smartmeter,56496,,768.0,,
2023-01-21T01:09:00+09:00,smartmeter,56497,,,4.1,4.1
2023-01-21T01:10:00+09:00,smartmeter,56498,,744.0,,
2023-01-21T01:10:00+09:00,smartmeter,56499,,,4.3,3.7
2023-01-21T01:11:00+09:00,smartmeter,56500,,748.0,,
2023-01-21T01:11:00+09:00,smartmeter,56501,,,4.4,3.6
2023-01-21T01:12:00+09:00,smartmeter,56502,,732.0,,
2023-01-21T01:12:00+09:00,smartmeter,56503,,,4.3,3.6
2023-01-21T01:13:00+09:00,smartmeter,56504,,752.0,,
2023-01-21T01:13:00+09:00,smartmeter,56505,,,4.2,3.9
2023-01-21T01:14:00+09:00,smartmeter,56506,,784.0,,
2023-01-21T01:14:00+09:00,smartmeter,56507,,,4.3,4.0
2023-01-21T01:15:00+09:00,smartmeter,56508,,668.0,,
2023-01-21T01:15:00+09:00,smartmeter,56509,,,4.0,3.3
2023-01-21T01:16:00+09:00,smartmeter,56510,,644.0,,
2023-01-21T01:16:00+09:00,smartmeter,56511,,,3.8,3.3
2023-01-21T01:17:00+09:00,smartmeter,56512,,656.0,,
2023-01-21T01:17:00+09:00,smartmeter,56513,,,3.9,3.3
2023-01-21T01:18:00+09:00,smartmeter,56514,,656.0,,
2023-01-21T01:18:00+09:00,smartmeter,56515,,,3.9,3.2
2023-01-21T01:19:00+09:00,smartmeter,56516,,712.0,,
2023-01-21T01:19:00+09:00,smartmeter,56517,,,3.9,3.8
2023-01-21T01:20:00+09:00,smartmeter,56518,,704.0,,
2023-01-21T01:20:00+09:00,smartmeter,56519,,,4.5,3.3
2023-01-21T01:21:00+09:00,smartmeter,56520,,700.0,,
2023-01-21T01:21:00+09:00,smartmeter,56521,,,4.4,3.3
2023-01-21T01:22:00+09:00,smartmeter,56522,,720.0,,
2023-01-21T01:22:00+09:00,smartmeter,56523,,,4.6,3.3
2023-01-21T01:23:00+09:00,smartmeter,56524,,708.0,,
2023-01-21T01:23:00+09:00,smartmeter,56525,,,4.5,3.3
2023-01-21T01:24:00+09:00,smartmeter,56526,,748.0,,
2023-01-21T01:24:00+09:00,smartmeter,56527,,,4.4,3.8
2023-01-21T01:25:00+09:00,smartmeter,56528,,776.0,,
2023-01-21T01:25:00+09:00,smartmeter,56529,,,4.6,3.8
2023-01-21T01:26:00+09:00,smartmeter,56530,,712.0,,
2023-01-21T01:26:00+09:00,smartmeter,56531,,,4.5,3.3
2023-01-21T01:27:00+09:00,smartmeter,56532,,696.0,,
2023-01-21T01:27:00+09:00,smartmeter,56533,,,4.4,3.3
2023-01-21T01:28:00+09:00,smartmeter,56534,,728.0,,
2023-01-21T01:28:00+09:00,smartmeter,56535,,,4.6,3.3
